TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
        92,     30092,123.970634,     200.0,     198.9,    141465,    199421,    295889,      2772,     16183,     29666,      3706,    117884,    161171,    224519,      2314,     14281,     22181,      3036
        93,     30093,105.465780,     111.4,         0,    133662,    186377,    278671,       340,     13614,         0,      2408,    111711,    150705,    215547,       636,     12410,         0,      1548
        94,     30094,205.869884,     115.2,         0,    150095,    204705,    264096,       570,     13787,     18708,      4000,    124615,    165390,    207589,      1108,     12663,     15020,      1581
        95,     30095,184.642664,     284.0,     194.6,    153842,    209594,    286183,       825,     13876,     30621,      4110,    128072,    169657,    218913,      1509,     12885,     21665,      1628
        96,     30096,163.787822,     270.2,      64.1,    151774,    207229,    283327,      1171,     14550,     28663,      3966,    126420,    167741,    217472,      1316,     13467,     20097,      1567
        97,     30097,         0,         0,         0,    158095,    210966,    271406,         0,      8022,         0,      4621,    130813,    170426,    211135,         1,      7841,         0,      1851
        98,     30098,515.762284,      15.4,       2.7,    174098,    230110,    302953,        21,      9202,         0,      5551,    143708,    185974,    228127,       196,      9421,         0,      2299
        99,     30099, 47.224552,         0,         0,    151833,    206798,    276307,       212,     11819,         0,      4140,    126064,    167155,    214291,       766,     11288,         0,      1641
       100,     30100,115.285769,     106.7,       2.1,    161256,    217826,    290517,       378,     11799,     24213,      4653,    133610,    176138,    221686,      1210,     11397,     18012,      1866
       101,     30101,226.520192,     440.6,     134.8,    161761,    218799,    301975,       662,     12821,     32726,      4568,    134449,    177202,    227182,      1454,     12271,     22315,      1827
       102,     30102,108.195519,         0,         0,    146994,    201098,    286440,       144,      9797,         0,      3321,    122146,    162515,    220144,       655,     10021,         0,      2004
       103,     30103,195.757101,     228.7,      19.7,    165117,    222494,    306092,       270,     10260,     22350,      4897,    136728,    179963,    230019,      1032,     10420,     16873,      1980
       104,     30104,151.304957,     198.3,     116.0,    167375,    225494,    311926,       468,     11710,     37033,      4919,    138973,    182638,    232309,      1435,     11430,     25176,      1990
       105,     30105, 98.772761,     108.2,      55.1,    173052,    231861,    329671,       289,      9865,     38634,      5343,    143538,    187793,    241882,      1204,     10279,     26379,      2196
       106,     30106,197.688337,     216.6,      76.9,    171876,    230905,    331107,       267,      9860,     36931,      5216,    142625,    187034,    242743,      1060,     10342,     25334,      2132
       107,     30107, 55.090501,         0,         0,    170444,    228926,    327593,        77,      8080,         0,      5232,    141082,    185224,    241598,       553,      8935,         0,      2140
       108,     30108, 88.809657,     171.2,         0,    179649,    240152,    339461,       184,      8585,     38350,      5807,    148678,    194332,    247767,       933,      9466,     26099,      2424
       109,     30109,946.304060,      12.0,       1.4,    186960,    246833,    341388,         4,      6595,         0,      6482,    153834,    199015,    248928,        64,      7693,         0,      2768
       110,     30110, 95.228257,      21.3,         0,    178658,    239117,    336442,       146,      8411,     22918,      5769,    147550,    193297,    246324,       848,      9256,     17173,      2406
       111,     30111,140.290589,      19.7,         0,    196439,    260445,    364600,        97,      6430,         0,      7100,    161497,    208956,    261553,       334,      7851,         0,      3091
       112,     30112,174.440973,      47.0,         0,    186280,    249133,    360106,       137,      6570,     22107,      6303,    153614,    201022,    259179,       556,      8051,     16524,      2675
       113,     30113,203.628024,     113.2,         0,    181923,    243077,    347578,       130,      7659,     33494,      5982,    150579,    196651,    251845,       764,      8878,     23242,      2511
       114,     30114,154.264831,      86.9,       1.8,    185320,    247841,    366423,        88,      6702,     43577,      6164,    153399,    200391,    261841,       562,      8279,     28891,      2602
       115,     30115, 90.072069,       5.6,      89.5,    210618,    283257,    404308,       185,      4349,         0,      8080,    172878,    223852,    283169,       338,      6545,         0,      3632
       116,     30116,109.047060,      65.1,      29.2,    202637,    271958,    393412,       192,      4825,     24424,      7466,    166507,    216884,    277421,       483,      6896,     17679,      3292
       117,     30117,104.898914,      30.3,      34.2,    193854,    259950,    384019,       160,      5056,     41421,      6802,    159944,    208975,    272028,       567,      7104,     27734,      2935
       118,     30118, 81.197058,      56.2,         0,    191594,    256642,    386674,       113,      4907,     45090,      6623,    158369,    206759,    272969,       509,      7033,     29784,      2841
       119,     30119, 88.410214,       1.0,      35.8,    208181,    278641,    412410,       182,      3195,         0,      7910,    170908,    221047,    287659,       332,      5917,         0,      3538
       120,     30120,230.581588,     123.3,       1.4,    199591,    267174,    404585,       221,      3444,     24472,      7262,    164138,    213727,    283420,       589,      6174,     17507,      3179
       121,     30121,115.036147,      51.4,       7.8,    190794,    255147,    383421,       184,      3642,     34499,      6559,    158161,    206073,    271167,       698,      6343,     23581,      2808
       122,     30122,151.372238,      90.7,         0,    189360,    253121,    382919,       117,      3690,     33033,      6463,    157012,    204603,    270943,       602,      6431,     22691,      2758
       123,     30123,117.795646,         0,         0,    190110,    251168,    416679,        71,      2269,         0,      6693,    156375,    202232,    290468,       504,      5650,         0,      2878
       124,     30124,123.415254,      98.0,       2.3,    187892,    252037,    369661,       141,      2568,     30145,      6463,    155893,    203762,    264097,       692,      5799,     20695,      2758
       125,     30125, 61.781836,      70.0,      64.3,    196013,    263862,    383876,       114,      2663,     48443,      6996,    162436,    212268,    271790,       818,      6008,     31460,      3036
       126,     30126,198.242357,     175.4,      10.6,    193525,    260198,    384002,        89,      2673,     42583,      6834,    160441,    209683,    271960,       733,      6177,     27985,      2951
       127,     30127,127.818309,     105.0,         0,    192594,    258794,    385018,        76,      2343,     32386,      6815,    159683,    208633,    272519,       645,      5946,     21938,      2941
       128,     30128,100.177029,      96.0,       5.9,    201409,    272443,    400006,        81,      2425,     48012,      7407,    166769,    217996,    280417,       739,      6168,     31011,      3259
       129,     30129,233.679796,      66.4,         0,    207159,    282743,    421573,        22,      2475,     34325,      7874,    171394,    224239,    291812,       470,      7056,     23063,      3518
       130,     30130,102.635968,      73.8,       1.7,    198607,    267991,    401113,        57,      2442,     42788,      7223,    164537,    215061,    281102,       605,      6540,     27949,      3158
       131,     30131,120.748304,      90.4,         0,    203366,    275894,    416724,        28,      2440,     42419,      7566,    168348,    220124,    289309,       478,      7044,     27717,      3347
       132,     30132,262.933622,     122.2,       6.6,    218448,    305532,    459203,        33,      4385,     51280,      8827,    180425,    237195,    311868,       505,     10377,     32052,      4052
       133,     30133,420.264584,     194.9,      15.6,    217278,    302834,    449760,        33,      4543,     44396,      8748,    179486,    235656,    306752,       463,     10396,     28234,      4008
       134,     30134,971.602594,       9.6,         0,    214290,    297266,    474966,        28,      6515,         0,      8662,    177949,    232756,    319490,        49,     13102,         0,      3961
       135,     30135,146.137693,       3.4,         0,    213248,    295226,    455630,        49,      5073,         0,      8514,    176466,    231265,    309771,       327,     11023,         0,      3879
       136,     30136,407.556751,     316.8,      23.7,    222639,    314809,    480061,        53,      6987,     35601,      9241,    183746,    242257,    322974,       541,     14263,     22976,      4287
       137,     30137,280.637419,       2.5,      30.7,    222427,    314633,    489209,       158,      7994,         0,      9315,    183805,    242171,    327818,       396,     15325,         0,      4330
       138,     30138,291.975907,     215.9,      54.3,    233514,    339667,    502658,       190,      8398,     56159,     10206,    192414,    256047,    335137,       599,     15990,     34376,      4846
       139,     30139,526.757807,     296.9,      29.0,    241696,    360078,    533850,       189,     11345,     63187,     10941,    198908,    267131,    352137,       522,     20019,     37917,      5277
       140,     30140,823.791016,       5.0,         0,    209242,    287775,    507378,         0,      8701,         0,      8280,    176985,    229655,    334610,       109,     16667,         0,      3747
       141,     30141,421.177376,       5.9,         0,    226936,    324918,    526948,       120,     11282,         0,      9696,    187388,    247926,    348410,       249,     19725,         0,      4550
       142,     30142,476.179051,         0,         0,    218713,    309692,    514964,        46,     12030,         0,      9068,    181444,    239555,    340488,       279,     20678,         0,      4188
       143,     30143,216.839844,      73.8,     109.7,    240298,    356726,    534676,       193,     11272,     65518,     10823,    197814,    265290,    352653,       525,     19837,     39144,      5209
       144,     30144,         0,         0,         0,    181701,    243662,    395798,         0,      2179,         0,      6373,    152501,    198359,    275859,         0,      6181,         0,      2711
       145,     30145,386.115617,      33.3,         0,    101987,    148132,    217570,        30,     10962,         0,      4225,     85428,    118732,    179647,        69,      8301,         0,      3820
       146,     30146,         0,      18.6,         0,     73410,    114724,    210869,        15,     12955,         0,         0,     63348,     91761,    175278,       122,     10512,         0,         0
       147,     30147,         0,       2.8,         0,     59559,    107167,    197415,         0,      4030,         0,         0,     52631,     85841,    163547,         3,      4064,         0,         0
       148,     30148,         0,         0,         0,     66136,    118217,    223197,         0,     10401,         0,         0,     57883,     94845,    183870,         0,      9050,         0,         0
       149,     30149,         0,         0,         0,     50735,     94786,    215962,         9,     13445,         0,         0,     45473,     75852,    179427,        78,     11425,         0,         0
       150,     30150,2427.21499,     616.2,     155.5,     76140,    129986,    239441,       156,      4886,         0,         0,     65890,    104364,    193835,       616,      4772,         0,         0
       151,     30151,         0,      21.4,      46.5,     66365,    105902,    208649,        47,      4949,         0,         0,     58679,     85244,    172858,        21,      5204,         0,         0
       152,     30152,         0,         0,         0,    161497,    218616,    333192,         0,      2346,         0,      4839,    134733,    177451,    244756,         0,      5909,         0,      1952
       153,     30153,1571.18699,         0,         0,    214002,    296834,    504576,         3,     10652,         0,      8615,    176723,    231854,    336110,        49,     19764,         0,      3935
