TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
       697,    110116,370.343786,     675.7,     221.8,    221007,    368200,    571860,       718,     45610,         0,      6802,    133480,    189907,    281823,      1079,     26426,         0,      1651
       698,    110117,563.583415,     964.3,     237.3,    229157,    438778,    593955,       280,     33583,      5727,      8184,    138782,    217631,    291637,      1413,     22058,      1335,      2212
       699,    110118,419.957775,     267.7,      10.0,    235095,    456853,    602549,        10,     22735,      9271,      8473,    141940,    225261,    294698,       268,     18174,      4464,      2074
       700,    110119,151.030675,     565.3,     978.8,    218441,    407592,    597865,      7209,     80087,     61202,     13556,    131170,    207217,    297132,      3189,     36151,     27151,      6308
       701,    110120,236.029588,     785.7,     494.2,    219446,    410386,    593971,      1419,     73889,     44816,      7689,    132362,    208288,    295692,      2272,     34486,     19067,      2363
       702,    110121,327.264014,    1015.0,     742.7,    210948,    390575,    581381,      4910,     78258,     67561,     17006,    127634,    199068,    288908,      2231,     36565,     33677,      8148
       703,    110122,271.852095,    1115.5,    3701.8,    215934,    400481,    588398,      7655,     79611,     66546,     16054,    130506,    203803,    292169,      2905,     36855,     33122,      7470
       704,    110123,259.672750,     560.3,    3366.3,    206618,    378107,    549276,      8653,     77585,     51051,     12730,    123984,    192777,    274010,      2486,     36471,     22795,      5498
       705,    110124,481.098570,    1713.5,    1059.2,    208285,    413857,    598486,      3230,     71151,     44419,     14362,    125806,    207766,    296507,      2229,     35579,     17712,      5483
       706,    110125,190.201580,     109.2,     127.2,    214797,    423031,    601677,      1125,     64140,     25620,     11689,    130097,    211797,    298022,      1262,     33775,     11337,      3258
       707,    110126,555.761348,     954.0,       8.0,    226267,    420982,    603873,       273,     39786,      2919,      8691,    136874,    210331,    294751,      1744,     25728,       351,      2429
       708,    110127,317.286560,    1118.2,      19.7,    189594,    343038,    591417,       477,     70617,     24705,     23796,    116438,    178597,    292032,      2498,     34060,     11646,     10460
       709,    110128,165.899429,     160.5,     467.3,    190223,    358138,    558822,      2518,     75144,     47823,     14735,    115546,    183515,    277367,      1629,     35848,     23815,      6766
       710,    110129,159.446142,     495.5,    1419.3,    219768,    454158,    633069,      7972,     72591,     71961,     18205,    133324,    225559,    312169,      1351,     36723,     33466,      6289
       711,    110130, 89.100941,         0,    1582.0,    209431,    422112,    595980,      7506,     72180,     61014,     16727,    126464,    211060,    294628,      2261,     36536,     27829,      5991
       712,    110131,113.845830,      76.2,     465.5,    221417,    436500,    618307,       888,     60473,     39754,     12213,    134291,    217937,    304704,      1201,     34058,     18490,      3469
       713,    110132,323.831934,     802.8,      60.0,    218094,    404954,    607159,       550,     52719,     33002,      9070,    131922,    203717,    298466,      1205,     31766,     14905,      2287
       714,    110133,408.384715,     641.5,     256.7,    230928,    458232,    623663,       262,     38403,         0,     10197,    138538,    224799,    303387,      1325,     26215,         0,      2800
       715,    110134,357.074803,     377.2,      17.3,    243290,    507298,    658948,        17,     21420,     24574,     14183,    142027,    243761,    318460,       377,     20208,     12746,      4949
       716,    110135,154.610167,     177.0,     106.5,    180541,    336182,    597798,       349,     54978,         0,     27538,    112908,    175243,    293344,      1084,     29349,         0,     11947
       717,    110136,315.344996,     343.3,      41.2,    193948,    374278,    618245,       187,     64933,         0,     23518,    119070,    190667,    303982,      1522,     32447,         0,      9726
       718,    110137,165.679697,     110.5,     146.5,    207727,    418013,    641940,      1727,     68522,     22172,     15516,    126536,    209852,    315944,       673,     34593,      9378,      6846
       719,    110138, 94.560633,         0,     858.7,    206321,    414347,    622171,      3248,     70332,     38466,     18654,    125295,    208083,    306524,      1026,     35825,     17764,      7111
       720,    110139,276.965834,     501.0,    3158.2,    218330,    443139,    640106,      7096,     64643,     83664,     15589,    132799,    220813,    313801,      1456,     35679,     34855,      5616
       721,    110140,216.625976,     573.2,     667.0,    215471,    433424,    633513,      4707,     63975,     55124,     15438,    130954,    216688,    310671,      1314,     35774,     24650,      5562
       722,    110141,208.325645,     213.7,    1248.7,    208183,    442563,    631840,      3139,     58077,     53798,     14148,    126840,    218151,    310436,      1995,     34600,     24351,      4613
       723,    110142,287.365227,    1117.2,     542.8,    221482,    480888,    664454,      2219,     55183,     55195,     13547,    134610,    235041,    325955,      1413,     33924,     25458,      4384
       724,    110143,892.575244,    1307.7,     529.5,    217850,    417507,    625548,       544,     45885,     24156,     13472,    132211,    208398,    304603,      1502,     30683,     11774,      4498
       725,    110144,127.642184,     223.7,     134.5,    183965,    340646,    620953,       403,     47069,         0,     26659,    114669,    176815,    303473,      1187,     26835,         0,     11383
       726,    110145,162.748573,     210.2,     151.5,    190508,    360540,    630371,       361,     52639,         0,     25600,    117496,    184752,    308295,       929,     28684,         0,     10594
       727,    110146,160.960997,     103.5,         0,    199467,    383405,    640765,       305,     57736,         0,     13591,    121856,    194625,    314138,       672,     30788,         0,      5022
       728,    110147,300.044512,     252.2,     407.0,    210834,    420874,    658356,      1308,     61886,         0,     16671,    128467,    211229,    322524,       534,     33257,         0,      5976
       729,    110148,308.166568,     310.8,    2191.3,    217398,    446839,    637020,      5940,     62962,     43235,     16335,    132563,    222270,    313071,      1058,     34979,     18979,      5841
       730,    110149,685.693002,     964.0,     282.7,    221044,    447622,    642572,       389,     35059,     19906,     16675,    133201,    219683,    311090,      1412,     26969,     10027,      5309
       731,    110150,316.846534,     269.2,      44.3,    181712,    336410,    607265,       258,     40883,         0,     26026,    112935,    173876,    296585,       603,     24637,         0,     10554
       732,    110151,267.164644,     232.8,      26.3,    194418,    376537,    641024,       159,     45667,         0,     13474,    119284,    190207,    312666,       406,     26609,         0,      4989
       733,    110152,238.831791,     146.3,     157.7,    196767,    396612,    645141,       404,     50025,         0,     13884,    120700,    198766,    314773,       729,     28802,         0,      5452
       734,    110153,245.094566,     306.7,      77.0,    199687,    414880,    652344,       423,     52152,         0,     13174,    122280,    206396,    318155,      1091,     30430,         0,      4550
       735,    110154,166.213942,     440.7,         0,    210239,    457532,    685701,       307,     50623,     12972,     16001,    128800,    224841,    334441,      1353,     30698,      5627,      5431
       736,    110155,181.169584,     293.8,      21.7,    215704,    473133,    679780,      1565,     54279,     49787,     17242,    132080,    231853,    332326,      1515,     32655,     20123,      5922
       737,    110156,160.340940,     431.8,     648.5,    218741,    482709,    662458,      2503,     53747,    113118,     18841,    133564,    235697,    323900,      1265,     33296,     43941,      6162
       738,    110157, 73.499634,     128.0,    1041.5,    238368,    537703,    706569,      3576,     51408,     72763,     17157,    144375,    260226,    344972,      2532,     33149,     33325,      5439
       739,    110158,432.160697,    1524.7,     690.5,    205590,    427778,    642392,      1809,     45981,     57663,     14216,    125675,    211854,    313124,      1755,     31833,     26052,      4337
       740,    110159,152.016498,       3.5,         0,    179256,    346022,    646560,         5,     31451,         0,      8338,    110085,    175039,    314376,        47,     20179,         0,      2394
       741,    110160, 80.420980,     174.3,         0,    223300,    489078,    703123,      1492,     47351,     47793,     16348,    136115,    238557,    342228,      1728,     30624,     18195,      5704
       742,    110161,174.360608,     354.0,     585.5,    233689,    530683,    711316,      2497,     49311,     98956,     18125,    141896,    256885,    346667,      1482,     32110,     36966,      5927
       743,    110162,400.122723,     602.0,     301.7,    197455,    408675,    676517,       364,     40540,         0,     16485,    121415,    203360,    328844,       885,     25338,         0,      5696
       744,    110163,675.534506,     994.5,     236.3,    211873,    444108,    661992,       368,     32510,     22640,     13886,    127503,    216617,    319875,      1668,     26509,     11474,      5141
       745,    110164,306.542200,      58.8,       2.7,    241550,    517732,    674545,         3,     21200,     11344,     14862,    138751,    246588,    324808,        59,     20349,      5676,      5144
       746,    110165, 86.237972,     115.7,      43.5,    213338,    468516,    700834,       663,     45761,         0,     17048,    130727,    229673,    341016,      1550,     28833,         0,      5898
       747,    110166,267.739866,     823.8,    1813.7,    222440,    502685,    699387,      3711,     36811,     58181,     20784,    133085,    241574,    339831,      1016,     28701,     27980,      7909
       748,    110167,404.399038,     447.5,       8.7,    246069,    538336,    696821,       140,     28373,     23991,     19448,    139587,    255865,    335844,      1220,     23935,     12432,      7816
       749,    110168,179.412711,     177.8,      16.0,    194098,    438644,    686653,       313,     35481,         0,      9575,    118621,    213066,    333863,       814,     23997,         0,      2764
       750,    110169,322.883372,     439.2,     556.5,    216296,    474659,    680002,       732,     42893,     26039,     16562,    131568,    231382,    331085,       939,     28768,     11128,      5885
       751,    110170,271.250663,      20.5,    2474.8,    226967,    529999,    709905,      3688,     38669,     14835,     19800,    134747,    253443,    345066,       223,     29015,      6279,      7629
       752,    110171,154.500819,      61.0,    1837.8,    237846,    553158,    726271,      5833,     35385,     62487,     20722,    139628,    264090,    352441,      1555,     27883,     32186,      8028
       753,    110172,111.627362,       1.0,       9.0,    185516,    412366,    697373,        84,     26962,         0,      9439,    113502,    201322,    337708,       315,     19072,         0,      2718
       754,    110173,273.755453,     466.8,     139.5,    190296,    426917,    695001,       150,     30225,         0,      9744,    116426,    207876,    336500,       651,     22159,         0,      2798
