TAZID,CO_TAZID,DevAcres,HH,Job,ATO_Job_byAuto,ATO_Job_byAuto_FF,ATO_Job_byAuto_SL,ATO_Job_byWalk,ATO_Job_byBike,ATO_Job_byTran_wk,ATO_Job_byTran_dr,ATO_HH_byAuto,ATO_HH_byAuto_FF,ATO_HH_byAuto_SL,ATO_HH_byWalk,ATO_HH_byBike,ATO_HH_byTran_wk,ATO_HH_byTran_dr
      2749,    490533,152.541516,     453.0,     197.0,    230016,    391748,    594862,      8201,     79034,         0,     25621,    151067,    246645,    385953,      5015,     43889,         0,      9609
      2750,    490534,233.167989,     666.0,      13.0,    230566,    396776,    612860,      5176,     73167,         0,     23758,    151463,    249760,    396515,      4390,     41311,         0,      8894
      2751,    490535,332.811051,     706.0,         0,    211688,    360387,    582137,      2555,     63870,         0,     19911,    138963,    226722,    376707,      3190,     37185,         0,      7641
      2752,    490536,214.630207,     482.0,     527.0,    223512,    380126,    614671,      5142,     71599,         0,     23502,    148028,    240364,    397648,      4435,     41418,         0,      8760
      2753,    490537,260.715093,     582.0,         0,    205164,    346061,    544959,      2312,     60723,         0,     21419,    136759,    219414,    353559,      2943,     36655,         0,      8165
      2754,    490538,282.843270,     519.0,       6.0,    226395,    384364,    593248,      3438,     65886,         0,     24081,    150811,    243722,    384388,      3632,     39879,         0,      8981
      2755,    490539,123.494234,     770.0,     905.0,    270044,    475772,    670238,     18079,     91121,     37675,     29256,    178195,    300197,    437398,      5682,     48361,     14698,     10672
      2756,    490540, 82.965238,      73.0,    1780.0,    270524,    482210,    675834,     18521,     92408,     45273,     29300,    177660,    303296,    441235,      4166,     48053,     18196,     10713
      2757,    490541,108.049307,         0,    1836.0,    287661,    508060,    677803,     17824,     94046,     43818,     30463,    188326,    319289,    442341,      3681,     48275,     17983,     11103
      2758,    490542, 63.459233,       1.0,     849.0,    274968,    485243,    669105,     18810,     92770,     40120,     29281,    180167,    305022,    435906,      5115,     48357,     16200,     10703
      2759,    490543,178.787474,         0,    2012.0,    267612,    463175,    652466,     16804,     93154,     50376,     28666,    174107,    290621,    424145,      4604,     48300,     20882,     10478
      2760,    490544, 91.326566,      68.0,     955.0,    253099,    428999,    611374,     12256,     88993,     40522,     27663,    164509,    268997,    396760,      4494,     47024,     16748,     10042
      2761,    490545,107.241857,     703.0,    2771.0,    263095,    458960,    652274,     17793,     91442,     28223,     28230,    172661,    288779,    424020,      5516,     48096,     11227,     10325
      2762,    490546,105.628743,         0,     879.0,    252457,    432890,    625432,     15718,     89950,     28752,     27862,    164716,    272011,    406596,      5164,     47523,     11510,     10259
      2763,    490547, 48.696827,     159.0,     450.0,    253538,    431673,    623727,     13447,     88153,     28597,     28202,    164784,    270862,    405303,      4925,     46861,     11565,     10225
      2764,    490548,119.192852,     371.0,    1224.0,    268234,    471023,    674563,     18003,     91383,     39897,     29104,    176596,    296800,    439519,      6013,     48372,     15449,     10621
      2765,    490549,129.196813,    1001.0,     409.0,    261205,    457152,    663490,     14983,     88454,     41398,     29018,    173114,    289341,    431951,      6911,     48218,     15767,     10599
      2766,    490550, 95.278470,     574.0,     844.0,    258946,    448578,    656444,     14663,     87546,         0,     28671,    170358,    282865,    427361,      6341,     47479,         0,     10642
      2767,    490551, 56.788999,     163.0,     756.0,    261299,    450150,    651759,     15195,     88053,         0,     28325,    171303,    283456,    423776,      5911,     47309,         0,     10397
      2768,    490552, 39.913276,      23.0,     485.0,    252651,    431472,    639750,     13608,     86289,         0,     28410,    165255,    271528,    415841,      5663,     46674,         0,     10554
      2769,    490553, 71.187619,     338.0,    1006.0,    248857,    424567,    618281,     12192,     85119,         0,     27934,    162596,    266832,    402040,      5292,     46065,         0,     10342
      2770,    490554,330.325407,         0,    2526.0,    289218,    508028,    672595,     15136,     93350,         0,     31858,    189471,    319173,    439848,      2720,     47754,         0,     11655
      2771,    490555,303.325834,         0,    2201.0,    289889,    516426,    692504,     12451,     96136,         0,     44046,    190175,    324308,    451730,      2934,     49210,         0,     17793
      2772,    490556,154.397769,     456.0,      97.0,    268609,    472680,    648395,     14373,     96122,     28411,     28656,    174431,    296376,    422381,      3395,     49046,     11254,     10498
      2773,    490557,253.711146,       3.0,    1171.0,    281481,    471402,    661552,     13048,     96929,     18376,     37749,    181477,    294755,    429403,      3330,     49876,      7532,     17068
      2774,    490558, 78.110476,     147.0,     862.0,    278595,    490885,    666326,     16647,     94923,     43894,     29394,    181530,    308200,    434092,      3896,     48627,     17681,     10751
      2775,    490559, 94.089989,     579.0,     192.0,    261827,    449355,    634286,     14746,     94308,     44966,     28796,    169749,    281228,    412363,      4081,     48618,     17886,     10582
      2776,    490560,200.123078,      30.0,    3919.0,    274294,    468500,    637144,     13855,     98536,     28281,     39343,    175582,    291652,    413422,      4089,     52034,     13686,     16795
      2777,    490561,162.922999,      36.0,     726.0,    282647,    475239,    681006,     12525,     96089,     16924,     41081,    182416,    296911,    440100,      3474,     49851,      6896,     19107
      2778,    490562,178.192903,     256.0,         0,    252431,    422087,    621465,     12041,     95230,     28325,     31558,    162117,    262796,    401444,      3804,     50088,     11616,     12570
      2779,    490563,174.799915,     333.0,    1065.0,    250197,    421500,    606382,     10404,     91761,     38282,     48112,    160387,    262480,    393503,      4198,     49104,     16261,     20380
      2780,    490564,152.760595,     222.0,     256.0,    259289,    430680,    649972,     10862,     91837,     37783,     30638,    167075,    268971,    419897,      3840,     48308,     15659,     12532
      2781,    490565,111.507714,      67.0,    1324.0,    255937,    434825,    611348,     11795,     90961,     44725,     25077,    165940,    272166,    396434,      4090,     47731,     18642,      9075
      2782,    490566, 71.787836,      57.0,     524.0,    262338,    432911,    616746,      8918,     88035,     38252,     48320,    168896,    270360,    400007,      4032,     47431,     16062,     20050
      2783,    490567,248.599928,     269.0,    1096.0,    253778,    422378,    616617,      8077,     86234,     39671,     48441,    162771,    263041,    398323,      4112,     46946,     16805,     19957
      2784,    490568,277.515776,     368.0,     253.0,    241198,    408236,    611476,      5469,     80130,     23392,     51675,    154090,    254060,    394743,      3857,     44374,     10125,     21517
      2785,    490569,341.599460,     470.0,         0,    234223,    388519,    585019,      3269,     71251,     19251,     55995,    148213,    240669,    377095,      3098,     40003,      8692,     22652
      2786,    490570,120.715886,     229.0,     426.0,    261633,    440010,    619683,      8795,     86288,     44720,     29812,    169585,    275723,    402749,      4094,     46231,     18487,     11897
